id,programming,health,shopping,news,travel
237,True,True,False,True,False
238,True,False,True,True,False
239,True,True,False,False,False
240,True,False,True,False,False
241,False,True,True,False,False
242,False,False,False,True,False
243,False,False,False,True,True
244,True,True,False,True,True
245,False,False,True,False,True
246,False,False,True,True,False
247,False,False,False,True,True
248,False,True,False,True,False
249,True,False,True,True,False
250,False,True,True,True,True
251,True,False,False,True,True
252,False,False,False,False,True
253,False,True,True,True,False
254,False,False,False,True,False
255,False,False,False,True,True
256,False,False,True,True,False
257,True,False,False,False,True
258,True,True,False,True,False
259,False,True,False,False,False
260,False,True,True,True,False
261,False,False,False,True,True
262,False,True,False,True,True
263,False,True,False,True,False
264,True,False,False,True,False
265,False,False,True,True,True
266,False,True,False,False,False
267,True,True,False,False,False
268,True,False,False,False,False
269,False,False,False,False,False
270,False,True,False,True,False
271,False,True,True,False,False
272,False,False,True,False,False
273,False,True,True,True,False
274,True,True,True,True,True
275,True,True,True,True,False
276,False,True,False,True,False
277,False,True,True,True,False
278,False,True,True,True,False
279,True,True,False,False,False
280,False,False,False,True,False
281,True,True,True,False,False
282,True,True,False,True,False
283,False,False,False,True,False
284,True,True,False,True,False
285,True,False,False,True,False
286,False,True,False,False,True
287,False,False,True,True,False
288,True,True,True,True,False
289,True,True,False,True,False
290,False,False,True,True,False
291,False,True,True,True,False
292,False,False,False,True,False
293,True,True,False,True,False
294,True,False,True,True,True
295,True,True,True,True,False
296,False,True,False,True,False
297,True,True,False,True,False
298,False,True,False,True,False
299,False,True,False,True,False
300,False,True,False,True,False
301,False,True,False,True,True
302,True,True,True,True,False
303,False,True,False,False,False
304,False,False,False,True,False
305,True,True,False,True,False
306,False,False,False,True,True
307,False,False,True,True,False
308,True,True,False,True,False
309,False,True,False,False,False
310,False,True,True,False,False
311,True,False,False,True,True
312,True,True,False,True,True
313,False,True,True,True,True
314,True,True,False,True,True
315,False,True,False,False,True
316,False,False,True,True,False
317,True,True,False,False,False
318,True,False,True,True,False
319,False,True,True,True,False
320,False,False,False,True,False
321,False,False,True,True,False
322,False,True,True,True,False
323,False,True,False,True,False
324,False,True,True,True,False
325,False,True,False,True,True
326,True,True,False,True,False
327,True,True,False,False,True
328,True,True,False,True,False
329,False,True,True,False,False
330,True,False,False,True,False
331,False,False,False,True,False
332,False,True,False,True,False
333,False,True,False,True,False
334,True,False,False,True,False
335,False,False,True,False,True
336,False,False,False,True,False
337,False,False,False,True,False
338,True,True,False,False,False
339,False,True,False,True,False
340,False,True,True,True,True
341,False,True,True,True,False
342,False,True,False,True,False
343,False,True,True,True,False
344,False,False,True,False,False
345,True,False,False,True,False
346,True,False,False,True,False
347,False,True,False,False,True
348,False,True,True,False,False
349,False,True,True,False,False
350,False,False,False,False,False
351,False,True,False,False,False
352,True,False,False,True,True
353,False,True,True,True,False
354,False,True,False,False,False
355,False,True,False,True,False
356,True,True,True,False,False
357,False,True,False,False,False
358,True,False,False,False,True
359,False,True,False,True,False
360,False,True,False,True,False
361,False,False,False,False,False
362,True,True,True,True,False
363,False,True,False,True,False
364,False,False,False,True,False
365,False,False,True,True,False
366,True,False,False,False,False
367,False,True,False,True,False
368,False,False,False,True,False
369,True,True,True,True,False
370,False,True,False,True,False
371,False,False,True,True,True
372,False,True,True,True,False
373,True,False,False,False,False
374,False,True,False,False,False
375,False,False,False,False,False
376,True,True,False,False,False
377,False,False,False,False,True
378,False,True,False,True,False
379,False,True,True,True,False
380,True,True,True,False,True
381,False,True,False,True,True
382,True,False,False,True,False
383,False,False,False,False,False
384,True,False,False,False,True
385,False,False,False,True,False
386,True,False,True,True,False
387,False,False,True,True,False
388,True,False,False,True,False
389,False,True,True,True,False
390,True,True,False,True,False
391,True,True,False,True,False
392,True,False,True,True,False
393,False,False,True,True,False
394,True,True,True,True,False
395,False,True,False,False,True
396,True,False,False,True,True
397,False,False,False,True,False
398,False,True,True,False,True
399,False,True,True,True,False
400,False,False,False,False,True
401,False,False,False,True,False
402,True,True,True,False,False
403,False,False,True,False,False
404,True,False,False,True,False
405,False,False,False,True,False
406,False,False,False,True,False
407,True,False,True,True,False
408,True,False,False,True,True
409,False,True,True,True,True
410,True,False,False,True,False
411,True,True,False,True,False
412,False,True,True,True,False
413,False,False,False,True,True
414,True,False,True,True,False
415,False,True,True,True,False
416,False,False,True,True,False
417,True,True,False,True,False
418,True,True,True,True,False
419,False,True,True,True,False
420,False,False,False,True,False
421,True,False,True,False,False
422,False,False,False,False,False
423,True,False,True,True,False
424,False,True,True,True,False
425,False,True,False,False,True
426,True,True,False,True,False
427,True,True,False,True,False
428,False,True,True,True,False
429,True,True,False,True,False
430,False,True,False,True,False
431,True,True,False,False,False
432,False,False,True,True,False
433,True,True,False,False,False
434,False,True,True,True,True
435,True,False,True,False,False
436,True,False,True,True,False
437,False,True,False,True,True
438,True,True,False,False,True
439,False,True,False,True,True
440,True,False,False,True,False
441,False,False,False,True,False
442,True,False,True,True,True
443,False,False,False,True,False
444,True,True,False,True,False
445,True,False,False,False,True
446,False,True,False,True,False
447,False,False,True,True,False
448,False,True,False,True,False
449,True,False,True,True,False
450,False,False,False,True,True
451,False,False,False,True,False
452,False,True,True,True,False
453,False,True,False,False,False
454,True,True,True,True,False
455,False,False,False,True,False
456,False,False,True,True,False
457,False,False,True,True,False
458,False,True,True,True,False
459,False,True,False,True,True
460,False,False,False,False,False
461,True,True,False,True,False
462,True,True,True,False,False
463,False,True,False,True,False
464,True,False,True,True,False
465,True,True,True,False,False
466,False,True,True,False,False
467,False,False,False,True,True
468,False,False,False,True,False
469,True,True,False,True,True
470,True,True,True,False,False
471,False,False,False,False,False
472,False,False,True,False,True
473,False,True,False,True,False
474,True,True,True,True,False
475,True,True,False,False,False
476,False,True,True,False,False
477,False,False,False,False,False
478,True,False,False,True,False
479,False,True,True,True,False
480,False,True,False,True,True
481,True,False,True,True,False
482,True,True,True,False,False
483,False,False,True,True,False
484,False,True,False,False,False
485,True,False,False,True,False
486,True,False,False,False,False
487,False,False,False,False,True
488,True,False,False,False,False
489,False,True,True,False,False
490,False,False,False,True,False
491,False,False,True,True,False
492,False,True,True,True,True
493,False,False,False,False,False
494,True,True,True,True,True
495,True,True,False,False,True
496,False,False,False,False,True
497,False,True,False,False,False
498,True,True,False,False,False
499,False,True,False,True,False
500,False,False,True,True,True
501,True,True,True,False,False
502,False,True,False,False,False
503,True,False,False,True,False
504,False,False,True,True,True
505,True,False,False,False,False
506,True,True,True,True,False
507,False,True,False,True,True
508,True,False,False,True,False
509,False,True,False,True,False
510,True,False,False,True,False
511,True,True,True,True,True
512,True,True,False,False,False
513,True,False,False,True,False
514,False,True,True,True,False
515,False,False,False,True,False
516,False,True,True,True,True
517,False,False,True,True,False
518,False,False,False,True,False
519,False,True,True,True,False
520,False,False,True,True,False
521,False,False,False,False,False
522,False,False,False,True,False
523,False,False,True,False,False
524,True,False,True,True,True
525,False,True,True,True,False
526,True,True,False,True,False
527,False,True,True,True,False
528,True,False,True,True,False
529,False,False,False,True,True
530,True,False,False,False,False
531,False,True,False,False,True
532,True,True,False,False,True
533,False,True,False,False,False
534,False,True,True,False,False
535,True,False,False,True,True
536,True,True,False,True,False
537,False,False,True,True,False
538,False,True,False,True,False
539,False,True,True,True,False
540,False,False,True,True,False
541,True,True,True,False,False
542,True,False,True,True,False
543,False,True,False,True,False
544,False,True,False,True,False
545,True,True,True,True,False
546,True,False,False,True,False
547,False,True,True,False,True
548,False,True,False,False,False
549,False,False,False,True,False
550,False,False,True,False,False
551,True,True,True,False,False
552,True,False,True,False,True
553,True,True,True,True,False
554,False,True,False,True,False
555,False,False,False,False,False
556,False,True,True,True,False
557,True,False,True,True,False
558,False,False,False,True,True
559,True,True,True,False,False
560,False,True,True,True,False
561,False,True,False,True,True
562,True,True,False,True,False
563,False,True,True,False,True
564,False,True,False,True,False
565,False,False,False,False,False
566,False,True,False,True,False
567,False,False,False,False,True
568,False,True,True,True,False
569,True,True,True,True,False
570,False,False,False,True,False
571,False,False,False,True,False
572,False,False,False,True,True
573,True,True,False,True,False
574,False,True,False,True,False
575,False,True,False,True,True
576,True,False,False,True,False
577,False,False,True,True,False
578,False,True,False,True,False
579,True,True,True,True,False
580,False,False,False,True,False
581,True,True,False,True,False
582,False,True,False,True,False
583,True,True,True,False,False
584,True,False,False,True,False
585,True,True,True,True,False
586,True,True,False,True,True
587,False,False,True,True,True
588,False,True,False,False,True
589,True,True,False,True,True
590,False,False,False,False,True
591,False,True,False,True,False
592,True,True,False,True,False
593,True,False,False,False,False
594,True,True,False,True,False
595,True,False,False,False,False
596,False,True,False,True,False
597,False,True,True,True,False
598,False,False,False,True,False
599,False,False,False,False,False
600,True,False,False,True,False
601,True,False,False,False,False
602,True,True,True,False,False
603,False,False,True,True,True
604,False,True,True,True,False
605,False,False,False,True,False
606,True,False,False,True,False
607,True,True,False,True,False
608,False,True,True,True,False
609,False,False,False,True,False
610,False,True,True,True,True
611,False,False,True,True,False
612,False,True,False,False,False
613,False,True,False,True,False
614,True,True,False,True,True
615,True,False,True,True,False
616,True,False,False,True,False
617,True,True,False,True,False
618,True,False,False,True,False
619,False,False,False,True,False
620,False,False,False,False,False
621,False,False,False,True,False
622,False,True,True,True,False
623,True,True,False,True,False
624,True,True,True,True,True
625,False,False,True,True,False
626,False,True,False,False,True
627,False,True,False,False,False
628,True,True,False,True,False
629,False,False,False,False,True
630,True,False,True,True,False
631,True,False,False,False,False
632,False,True,True,True,False
633,False,False,True,False,False
634,False,True,True,True,False
635,False,True,True,True,False
636,False,True,False,True,False
637,True,True,False,True,False
638,False,False,False,False,True
639,False,False,False,False,False
640,False,False,True,True,True
641,False,False,True,True,False
642,False,False,True,True,False
643,False,False,True,False,False
644,False,False,False,True,False
645,True,True,False,True,False
646,False,True,True,True,False
647,False,False,True,False,False
648,False,True,True,True,False
649,False,True,True,False,False
650,False,False,True,True,True
651,True,True,True,False,False
652,True,True,True,True,False
653,True,True,False,False,False
654,True,False,False,True,False
655,False,True,True,True,False
656,True,False,True,True,False
657,True,True,True,True,True
658,True,True,False,False,False
659,False,False,True,True,False
660,False,True,True,True,False
661,True,True,True,True,True
662,True,True,False,True,False
663,True,True,True,True,False
664,False,True,False,True,False
665,False,False,False,True,False
666,False,True,True,False,False
667,False,True,False,False,False
668,False,True,True,True,False
669,True,True,False,True,False
670,True,False,True,True,False
671,True,True,False,True,False
672,False,True,True,True,False
673,False,True,False,True,False
674,False,False,False,True,True
675,True,False,False,True,False
676,True,True,True,False,False
677,False,True,False,True,False
678,False,True,False,False,False
679,True,False,False,True,False
680,False,False,True,True,False
681,False,True,True,True,False
682,False,False,False,True,False
683,False,True,True,True,False
684,False,True,True,True,False
685,False,False,False,True,False
686,False,True,False,True,False
687,False,True,False,True,False
688,False,False,False,True,False
689,False,True,False,False,False
690,False,True,True,True,False
691,False,False,True,True,False
692,True,False,True,False,False
693,False,True,True,True,True
694,False,False,False,True,False
695,True,False,False,False,True
696,False,True,False,False,False
697,False,False,False,True,False
698,True,False,False,True,False
699,False,True,False,False,False
700,True,True,True,True,False
701,True,False,True,False,False
702,True,False,False,True,False
703,False,False,True,True,False
704,True,True,True,True,False
705,False,True,False,True,False
706,True,True,False,False,False
707,True,True,False,True,False
708,False,False,True,True,False
709,True,True,False,True,False
710,False,False,False,False,False
711,False,False,True,False,False
712,False,False,True,True,False
713,False,False,False,True,True
714,False,False,True,True,False
715,False,True,False,True,False
716,False,False,False,True,False
717,True,True,False,False,True
718,True,False,False,True,False
719,False,True,False,True,False
720,True,True,False,True,True
721,True,True,False,False,False
722,True,True,False,False,False
723,False,True,True,False,False
724,True,True,False,True,False
725,False,False,True,True,False
726,False,True,True,True,False
727,False,False,True,True,False
728,True,False,False,False,False
729,True,False,True,True,False
730,False,True,False,True,True
731,False,False,False,True,False
732,False,True,False,True,False
733,True,True,True,False,False
734,False,True,False,False,True
735,False,True,True,False,False
736,False,False,True,True,False
737,True,False,True,True,False
738,False,False,False,True,False
739,False,True,True,False,False
740,True,True,False,False,False
741,True,True,True,True,True
742,False,False,True,True,False
743,True,False,False,False,True
744,False,False,True,True,True
745,False,True,True,False,False
746,True,True,True,False,True
747,True,False,False,True,False
748,False,True,True,False,False
749,False,True,False,True,False
750,True,False,False,True,False
751,True,False,True,True,False
752,False,False,False,True,False
753,True,True,False,True,False
754,True,True,False,True,False
755,False,False,True,True,True
756,True,False,True,True,False
757,False,True,False,False,False
758,False,True,False,False,True
759,False,True,False,True,False
760,False,False,True,True,False
761,False,False,True,True,False
762,False,False,True,True,False
763,True,False,False,False,False
764,False,False,True,True,False
765,False,True,True,True,False
766,True,False,False,True,False
767,False,True,False,True,False
768,False,True,True,True,False
769,False,True,False,True,False
770,True,True,True,True,False
771,True,False,True,True,False
772,False,False,True,False,False
773,True,True,True,True,False
774,False,True,False,True,False
775,False,True,True,False,False
776,False,True,False,False,False
777,True,True,False,False,False
778,False,True,True,False,True
779,False,False,True,True,False
780,False,False,False,True,True
781,True,True,True,True,False
782,False,True,False,True,False
783,True,False,False,True,False
784,False,False,True,True,False
785,True,False,False,True,False
786,True,False,False,False,False
787,False,True,True,False,False
788,True,True,False,True,False
789,True,True,True,True,False
790,True,False,False,True,False
791,False,True,False,False,False
792,True,True,False,False,True
793,True,False,False,False,False
794,False,True,True,True,False
795,False,True,True,False,False
796,False,False,False,True,False
797,True,True,True,True,True
798,False,True,False,False,False
799,True,False,False,True,False
800,False,True,False,True,False
801,True,True,False,True,True
802,True,True,True,True,False
803,False,False,False,True,False
804,True,True,False,True,False
805,False,False,False,True,True
806,True,True,False,True,False
807,False,False,False,False,False
808,False,True,True,False,False
809,True,False,False,True,False
810,True,False,True,True,False
811,False,False,False,True,False
812,False,True,True,True,False
813,True,False,False,False,False
814,False,True,True,True,False
815,False,False,False,False,True
816,False,True,True,False,False
817,True,True,True,True,False
818,True,False,False,True,False
819,False,True,False,True,False
820,False,True,False,False,False
821,True,True,True,False,False
822,False,True,False,True,False
823,False,True,True,True,True
824,False,False,False,True,True
825,True,True,False,True,False
826,False,True,False,True,True
827,True,False,False,True,False
828,False,False,False,True,False
829,False,False,True,False,False
830,False,True,True,True,False
831,False,False,False,True,False
832,True,True,False,True,False
833,False,False,True,True,False
834,False,True,False,False,False
835,True,True,True,True,False
836,False,True,True,False,True
837,False,False,False,True,False
838,False,True,False,True,False
839,False,False,False,False,False
840,False,False,True,True,False
841,False,True,False,False,True
842,False,False,False,True,True
843,False,False,True,True,False
844,True,True,False,False,False
845,False,False,False,False,False
846,True,False,False,False,False
847,True,True,True,True,False
848,False,False,False,True,False
849,False,True,False,True,True
850,False,True,False,True,True
851,False,True,False,False,False
852,False,True,True,True,True
853,False,False,True,True,True
854,False,True,False,True,False
855,False,True,False,True,False
856,True,True,True,True,False
857,False,True,True,True,False
858,False,False,False,True,False
859,True,True,False,True,False
860,False,True,False,True,False
861,False,True,False,True,False
862,False,False,False,True,False
863,True,False,False,True,False
864,False,True,True,True,False
865,False,False,False,True,False
866,False,True,True,True,True
867,True,True,True,False,True
868,False,False,False,True,False
869,False,True,True,True,False
870,False,True,True,True,False
871,False,False,False,False,True
872,False,True,False,False,True
873,True,True,True,True,False
874,False,False,True,True,False
875,False,False,True,True,True
876,True,True,False,False,True
877,False,False,False,True,False
878,False,True,False,True,False
879,False,False,True,True,False
880,True,True,True,True,False
881,False,False,True,True,False
882,False,False,False,True,False
883,False,False,False,True,False
884,False,True,False,True,False
885,True,False,False,True,False
886,False,False,True,True,False
887,True,True,True,False,False
888,True,True,True,False,False
889,False,False,False,True,False
890,False,True,False,True,False
891,False,True,False,False,False
892,False,True,False,True,False
893,False,True,True,True,False
894,True,True,True,True,False
895,False,True,False,True,True
896,True,False,True,True,False
897,True,True,False,False,False
898,False,True,False,False,False
899,False,True,False,True,False
900,False,True,True,True,True
901,False,True,False,True,False
902,False,False,True,False,True
903,False,False,True,False,True
904,False,True,True,True,False
905,True,False,False,True,True
906,False,False,True,True,True
907,True,True,False,True,True
908,False,False,True,True,False
909,True,True,True,True,True
910,False,True,True,False,False
911,False,False,False,False,False
912,True,True,False,True,True
913,True,True,True,True,True
914,False,True,True,True,False
915,False,False,False,True,False
916,False,True,False,False,False
917,True,True,True,True,False
918,True,True,True,True,False
919,False,True,False,True,False
920,True,False,False,True,True
921,False,False,False,False,False
922,True,False,True,False,False
923,True,True,True,True,True
924,True,False,True,True,False
925,False,False,True,True,False
926,False,False,False,True,False
927,True,True,False,True,True
928,False,True,False,False,True
929,False,False,False,True,False
930,False,True,False,True,False
931,False,False,True,True,False
932,False,True,False,True,True
933,False,False,True,True,True
934,True,False,True,True,True
935,True,False,False,True,False
936,False,True,True,True,False
937,False,True,False,True,False
938,False,True,False,True,False
939,True,True,True,True,False
940,False,True,False,True,False
941,False,True,False,False,False
942,False,True,False,False,False
943,False,False,False,True,False
944,False,True,False,True,True
945,True,False,False,True,False
946,False,False,False,True,False
947,False,False,False,True,False
948,False,True,False,False,False
949,False,True,True,False,False
950,True,False,False,True,False
951,False,False,True,True,True
952,True,True,False,True,False
953,False,True,True,True,False
954,False,False,True,False,False
955,True,True,False,True,False
956,False,True,False,True,False
957,False,True,True,False,True
958,True,True,False,False,False
959,False,False,False,False,False
960,True,False,True,False,False
961,False,False,False,False,False
962,False,True,False,False,False
963,True,True,False,True,False
964,False,True,False,False,True
965,False,False,False,False,True
966,True,True,False,True,False
967,True,False,False,False,False
968,False,True,False,False,False
969,False,True,False,True,True
970,False,False,True,True,False
971,False,False,False,False,False
972,False,True,False,True,False
973,False,False,False,False,True
974,False,False,False,True,False
975,False,False,False,False,True
976,False,True,True,True,False
977,False,True,False,True,True
978,False,True,False,True,False
979,False,True,True,False,False
980,False,True,True,True,False
981,False,False,True,True,False
982,True,False,False,True,False
983,False,True,False,False,False
984,False,False,True,True,True
985,False,False,True,False,True
986,True,True,True,True,False
987,False,True,True,True,False
988,False,True,False,True,False
989,False,False,False,True,True
990,False,False,True,False,False
991,False,True,False,True,True
992,False,False,True,False,True
993,True,True,False,True,False
994,False,False,True,True,True
995,False,False,False,False,False
996,False,True,False,True,True
997,True,True,True,True,False
998,True,True,False,True,True
999,False,True,False,True,False
1000,True,True,False,True,True
1001,True,False,True,True,False
1002,True,False,False,True,False
1003,True,False,False,True,True
1004,False,False,True,True,False
1005,False,False,False,False,False
1006,True,False,False,False,False
1007,False,True,False,True,False
1008,True,False,False,True,False
1009,False,False,True,True,False
1010,False,True,True,False,True
1011,False,True,False,True,False
1012,True,True,True,False,False
1013,False,True,True,False,False
1014,False,False,False,True,False
1015,True,True,False,True,False
1016,False,False,False,False,False
1017,False,True,False,True,False
1018,False,True,False,False,False
1019,False,False,True,True,False
1020,False,True,False,True,True
1021,False,False,False,True,True
1022,False,True,False,True,False
1023,False,False,False,True,False
1024,True,False,False,False,True
1025,False,True,True,False,False
1026,False,False,False,False,False
1027,True,True,True,True,False
1028,False,False,False,False,True
1029,False,True,True,True,False
1030,True,False,False,True,True
1031,True,False,True,True,False
1032,False,True,False,True,False
1033,False,False,False,True,True
1034,False,True,False,True,True
1035,False,False,True,False,True
1036,False,True,False,False,False
1037,True,False,False,True,False
1038,False,True,True,True,True
1039,True,False,False,True,True
1040,True,False,False,True,False
1041,False,False,True,True,False
1042,False,True,True,True,False
1043,False,True,True,False,False
1044,True,True,True,True,False
1045,False,True,True,True,False
1046,True,True,True,False,False
1047,True,True,True,True,True
1048,False,False,True,True,False
1049,False,False,False,True,False
1050,True,True,True,True,False
1051,True,False,False,True,False
1052,False,False,True,True,False
1053,False,True,False,True,False
1054,False,True,True,True,False
1055,True,False,True,True,False
1056,False,True,True,False,False
1057,True,True,True,False,False
1058,False,False,True,False,False
1059,False,True,True,True,False
1060,False,False,False,True,False
1061,False,False,True,False,False
1062,False,False,True,True,False
1063,True,True,True,True,False
1064,False,False,True,True,False
1065,False,False,True,True,False
1066,False,True,False,False,False
1067,False,False,False,True,False
1068,False,True,False,False,False
1069,True,True,False,True,True
1070,False,False,True,True,False
1071,True,True,False,False,True
1072,True,True,True,False,False
1073,False,False,False,False,False
1074,True,True,False,True,True
1075,True,True,False,True,False
1076,False,False,False,False,False
1077,False,False,False,True,False
1078,False,True,False,False,False
1079,True,False,True,False,False
1080,False,False,True,False,False
1081,False,False,True,False,False
1082,False,False,False,True,False
1083,True,False,True,True,False
1084,False,False,False,False,False
1085,False,True,False,True,False
1086,True,False,True,True,False
1087,False,False,False,True,False
1088,False,True,False,True,False
1089,False,True,False,True,True
1090,False,True,True,True,False
1091,False,True,True,False,False
1092,False,True,False,False,False
1093,False,False,False,True,False
1094,True,False,True,True,False
1095,True,False,False,True,True
1096,False,False,False,True,False
1097,False,False,False,False,True
1098,True,True,False,True,False
1099,False,False,True,True,False
1100,False,True,False,True,False
1101,False,True,True,True,False
1102,True,True,False,False,False
1103,False,True,True,True,False
1104,True,True,True,False,False
1105,False,False,True,False,False
1106,False,True,False,False,True
1107,True,True,False,False,True
1108,False,True,True,True,False
1109,False,False,False,False,False
1110,True,False,True,True,True
1111,True,False,True,True,False
1112,False,True,True,True,False
1113,False,True,False,False,False
1114,True,True,False,True,False
1115,False,True,False,False,False
1116,False,False,False,False,False
1117,False,True,True,False,True
1118,True,False,True,True,False
1119,False,True,True,False,True
1120,True,True,False,True,False
1121,False,False,False,True,False
1122,False,True,False,True,False
1123,True,True,False,True,False
1124,False,True,True,False,False
1125,False,True,False,True,True
1126,True,True,False,True,False
1127,False,True,False,True,False
1128,True,True,True,False,False
1129,False,True,True,False,False
1130,True,False,True,True,True
1131,False,True,True,False,False
1132,False,False,False,True,True
1133,False,True,False,True,False
1134,False,True,True,False,False
1135,True,True,False,True,False
1136,False,True,True,True,True
1137,False,False,True,True,False
1138,True,False,False,True,False
1139,False,True,True,True,False
1140,True,False,False,True,False
1141,True,False,False,True,True
1142,False,False,True,True,False
1143,True,True,True,True,False
1144,False,True,True,False,False
1145,False,True,False,False,False
1146,True,True,True,False,False
1147,False,False,True,True,True
1148,False,False,False,True,True
1149,True,False,True,True,False
1150,True,True,False,False,True
