id,job,gender,hhi,age,region,survived
80,engineer,female,114000,40,midwest,False
81,law,male,44000,48,northeast,True
82,unemployed,male,75000,33,northwest,False
83,law,female,38000,43,northeast,True
84,health,female,119000,46,southeast,False
85,engineer,male,72000,33,southwest,False
86,unemployed,male,51000,46,northwest,False
87,construction,female,124000,25,midwest,False
88,construction,male,96000,44,southwest,True
89,law,male,36000,47,northwest,False
90,engineer,male,95000,49,midwest,False
91,health,female,112000,23,southwest,False
92,health,female,31000,30,northeast,True
93,law,female,123000,39,midwest,False
94,unemployed,male,93000,40,midwest,False
95,unemployed,female,57000,49,southwest,True
96,engineer,female,117000,40,midwest,True
97,unemployed,female,64000,35,northwest,False
98,engineer,female,35000,34,midwest,True
99,construction,female,64000,37,southwest,False
100,law,male,81000,21,central,False
101,construction,female,73000,25,southwest,True
102,construction,male,93000,22,southwest,False
103,engineer,female,116000,47,midwest,False
104,engineer,female,39000,40,southwest,False
105,unemployed,female,115000,40,central,False
106,engineer,female,63000,40,southwest,False
107,engineer,female,84000,44,midwest,False
108,health,male,32000,24,southwest,False
109,construction,male,101000,22,southwest,True
110,unemployed,male,87000,37,midwest,False
111,unemployed,male,31000,33,northwest,True
112,engineer,female,45000,50,midwest,True
113,engineer,female,92000,23,central,False
114,unemployed,female,85000,48,southeast,True
115,engineer,female,112000,21,midwest,True
116,construction,female,112000,48,southeast,False
117,construction,male,121000,43,northeast,False
118,unemployed,male,93000,38,central,False
119,construction,female,39000,24,midwest,False
120,engineer,female,47000,33,northeast,False
121,health,male,121000,47,central,False
122,engineer,male,112000,22,northwest,True
123,law,female,52000,24,central,False
124,law,male,53000,46,northwest,True
125,construction,male,122000,33,southeast,True
126,construction,male,36000,48,midwest,False
127,construction,female,100000,26,northeast,False
128,engineer,male,82000,33,southeast,False
129,unemployed,male,77000,47,northwest,True
130,unemployed,male,110000,28,midwest,False
131,engineer,male,69000,42,southwest,False
132,health,male,92000,45,northeast,False
133,law,female,54000,30,central,False
134,construction,female,36000,46,northwest,True
135,health,female,84000,24,central,True
136,unemployed,female,63000,38,northwest,False
137,construction,male,130000,45,midwest,True
138,unemployed,female,68000,49,southeast,False
139,health,female,101000,33,northwest,True
140,engineer,male,89000,42,northwest,False
141,health,female,91000,48,southeast,False
142,engineer,male,60000,31,northwest,False
143,construction,male,80000,27,central,True
144,law,male,127000,25,southeast,True
145,unemployed,male,88000,46,midwest,True
146,engineer,female,69000,23,southwest,False
147,unemployed,male,64000,43,southeast,True
148,health,male,114000,24,central,False
149,unemployed,male,102000,30,northeast,False
150,construction,male,107000,27,southwest,True
151,construction,female,78000,26,northeast,True
152,engineer,male,105000,21,southwest,False
153,unemployed,male,73000,39,central,True
154,construction,female,60000,42,northwest,True
155,engineer,female,120000,29,central,False
156,unemployed,female,39000,41,midwest,False
157,construction,male,98000,49,northwest,False
158,engineer,male,81000,42,southwest,False
159,engineer,female,77000,31,central,True
160,law,male,70000,42,northwest,True
161,engineer,male,112000,22,midwest,False
162,unemployed,male,58000,25,southeast,False
163,law,female,108000,32,southeast,False
164,engineer,female,57000,25,northwest,False
165,engineer,female,54000,50,northeast,True
166,construction,female,99000,46,southeast,False
167,engineer,male,45000,31,central,True
168,health,female,100000,45,northeast,True
169,law,male,41000,27,southwest,False
170,law,female,84000,49,southeast,False
171,engineer,male,79000,37,southwest,True
172,unemployed,male,85000,34,central,False
173,engineer,female,122000,34,central,True
174,health,female,53000,23,southwest,False
175,construction,female,85000,34,northeast,True
176,health,male,92000,48,central,True
177,construction,female,124000,45,midwest,False
178,unemployed,female,39000,37,midwest,True
179,engineer,female,64000,40,southeast,False
180,unemployed,male,125000,22,southeast,False
181,law,male,33000,41,midwest,True
182,unemployed,female,74000,31,central,False
183,unemployed,male,76000,32,midwest,False
184,engineer,female,101000,40,southwest,True
185,law,female,127000,34,central,False
186,law,male,55000,31,northwest,False
187,construction,female,50000,28,northeast,True
188,law,female,48000,24,midwest,False
189,unemployed,male,94000,22,central,False
190,unemployed,male,45000,23,southwest,False
191,engineer,male,75000,38,southwest,False
192,construction,male,69000,49,southeast,True
193,construction,male,42000,22,northwest,False
194,construction,female,56000,35,central,False
195,construction,female,51000,30,southwest,True
196,law,male,110000,36,northeast,True
197,law,male,70000,32,southwest,False
198,construction,female,126000,35,northwest,True
199,unemployed,female,65000,27,midwest,False
200,engineer,female,109000,28,southeast,False
201,construction,male,76000,48,northwest,False
202,unemployed,male,58000,38,midwest,True
203,engineer,female,126000,38,southeast,False
204,health,male,39000,48,central,True
205,construction,female,56000,39,northeast,False
206,unemployed,male,125000,20,central,False
207,engineer,female,81000,37,northeast,False
208,engineer,female,109000,33,southeast,False
209,construction,male,78000,42,northwest,True
210,unemployed,male,113000,40,southeast,False
211,engineer,female,117000,28,northwest,True
212,unemployed,female,75000,22,central,False
213,unemployed,female,103000,47,southwest,False
214,construction,female,82000,43,southeast,False
215,engineer,male,49000,32,northeast,True
216,unemployed,female,74000,38,northwest,False
217,engineer,male,84000,34,northwest,True
218,unemployed,female,111000,43,northwest,False
219,law,female,75000,49,northeast,True
220,law,female,70000,49,midwest,True
221,health,female,83000,33,southwest,False
222,construction,female,38000,40,northeast,True
223,law,male,60000,41,southwest,False
224,engineer,male,104000,31,southeast,False
225,engineer,male,120000,42,northeast,False
226,engineer,female,32000,27,northwest,False
227,engineer,female,74000,21,midwest,False
228,engineer,female,31000,24,northeast,False
229,law,male,120000,26,midwest,False
230,engineer,female,77000,35,midwest,False
231,health,male,78000,34,northwest,False
232,unemployed,female,63000,38,northwest,False
233,unemployed,male,100000,36,northeast,True
234,law,female,50000,35,southwest,False
235,unemployed,female,102000,50,southwest,True
236,engineer,male,41000,40,northeast,True
237,engineer,female,68000,40,northwest,False
238,engineer,male,123000,48,northwest,False
239,unemployed,male,82000,28,central,False
240,engineer,male,102000,25,southwest,False
241,health,female,128000,22,midwest,False
242,unemployed,male,41000,21,southwest,False
243,unemployed,female,103000,41,central,False
244,engineer,female,76000,39,northwest,False
245,law,female,130000,22,midwest,False
246,law,male,39000,22,southwest,False
247,law,female,38000,33,northwest,False
248,construction,male,45000,31,southwest,False
249,law,male,66000,45,southwest,True
250,health,male,87000,37,central,True
251,engineer,female,80000,20,southeast,False
252,construction,female,37000,45,northeast,True
253,health,male,56000,23,northeast,False
254,law,female,106000,40,midwest,True
255,construction,male,105000,37,southeast,False
256,construction,female,123000,23,southeast,False
257,engineer,male,109000,22,southeast,False
258,engineer,female,118000,39,midwest,True
259,construction,female,121000,26,southeast,True
260,unemployed,female,119000,23,southeast,False
261,law,female,54000,28,midwest,True
262,unemployed,male,85000,28,southwest,False
263,construction,female,44000,46,southwest,False
264,engineer,male,46000,49,central,False
265,law,male,124000,24,northeast,True
266,health,male,65000,25,southwest,True
267,engineer,male,114000,44,northwest,True
268,engineer,female,64000,35,southwest,False
269,law,female,55000,47,southwest,True
270,construction,female,114000,32,central,False
271,health,female,123000,45,northwest,True
272,law,female,102000,24,southwest,False
273,health,female,90000,24,central,False
274,engineer,male,30000,33,central,True
275,engineer,female,94000,29,southwest,False
276,unemployed,male,94000,49,southeast,False
277,health,male,80000,36,northwest,True
278,unemployed,female,106000,42,midwest,False
279,law,female,119000,36,northeast,False
280,law,female,111000,23,southwest,True
281,engineer,female,97000,32,northwest,False
282,engineer,female,85000,29,northeast,False
283,construction,male,67000,42,midwest,True
284,construction,female,52000,48,southeast,False
285,engineer,female,32000,35,central,True
286,unemployed,male,123000,50,southeast,False
287,unemployed,female,122000,23,southeast,False
288,engineer,male,122000,45,northeast,True
289,engineer,male,72000,30,central,False
290,unemployed,male,45000,32,central,True
291,construction,male,59000,22,southwest,False
292,law,male,53000,49,northwest,True
293,engineer,male,91000,29,southwest,False
294,engineer,male,63000,26,southeast,False
295,engineer,male,110000,36,midwest,True
296,health,male,115000,46,southeast,True
297,engineer,female,50000,23,central,False
298,construction,female,74000,47,southwest,False
299,construction,female,119000,26,midwest,False
300,unemployed,female,110000,40,midwest,False
301,construction,female,103000,34,northwest,False
302,engineer,male,74000,33,northwest,False
303,law,female,30000,25,southeast,False
304,law,male,54000,46,northwest,False
305,engineer,male,73000,44,central,False
306,law,male,115000,40,northwest,False
307,construction,male,108000,42,northwest,False
308,engineer,male,83000,34,southeast,False
309,law,male,75000,33,midwest,False
310,health,male,64000,23,northwest,False
311,engineer,male,47000,34,central,False
312,engineer,male,87000,45,central,True
313,construction,male,101000,25,central,True
314,engineer,female,120000,23,midwest,False
315,unemployed,male,47000,33,southeast,False
316,unemployed,female,119000,33,northeast,False
317,construction,male,124000,36,southwest,True
318,engineer,female,47000,21,southeast,True
319,health,male,105000,23,northwest,False
320,law,female,124000,49,southwest,False
321,construction,female,72000,46,midwest,True
322,unemployed,female,54000,33,southwest,False
323,law,female,79000,47,southwest,True
324,health,female,93000,23,southeast,True
325,unemployed,female,31000,20,southwest,True
326,health,male,126000,30,northeast,False
327,engineer,male,126000,45,northeast,False
328,engineer,male,119000,38,central,False
329,health,female,82000,49,central,True
330,engineer,male,57000,47,southwest,True
331,unemployed,female,62000,40,northwest,False
332,unemployed,female,120000,33,central,False
333,health,male,73000,45,southwest,False
334,engineer,female,118000,23,southwest,False
335,law,male,95000,25,central,True
336,law,female,41000,23,southwest,True
337,construction,female,54000,29,southwest,True
338,engineer,female,77000,25,midwest,True
339,unemployed,male,82000,23,southeast,False
340,construction,male,118000,35,southeast,True
341,unemployed,male,95000,42,northwest,False
342,unemployed,male,124000,47,southwest,True
343,law,female,114000,26,central,False
344,construction,male,68000,45,central,False
345,engineer,male,37000,35,southeast,True
346,engineer,female,32000,39,northwest,False
347,law,female,130000,47,central,True
348,unemployed,male,76000,28,northeast,False
349,unemployed,male,66000,25,central,False
350,unemployed,female,93000,38,northeast,False
351,construction,female,51000,47,northeast,True
352,engineer,male,123000,35,northeast,True
353,unemployed,female,92000,36,northeast,True
354,law,male,48000,49,midwest,True
355,unemployed,male,128000,46,central,False
356,engineer,male,124000,42,southwest,True
357,construction,female,108000,22,northeast,False
358,engineer,female,41000,25,central,False
359,construction,female,69000,30,southwest,False
360,health,female,58000,46,central,True
361,construction,male,64000,21,southeast,False
362,engineer,female,53000,34,central,False
363,health,male,72000,38,southwest,False
364,law,female,55000,39,southwest,True
365,law,female,103000,24,midwest,False
366,law,male,33000,38,central,False
367,construction,female,39000,22,northeast,True
368,law,male,114000,35,southeast,False
369,construction,female,73000,39,central,False
370,construction,female,62000,31,midwest,True
371,unemployed,female,73000,25,midwest,False
372,health,male,54000,33,southwest,False
373,construction,female,94000,35,northeast,False
374,construction,male,36000,28,northeast,False
375,law,male,96000,41,northeast,True
376,unemployed,female,73000,23,midwest,True
377,construction,male,83000,25,central,False
378,construction,male,69000,26,southeast,False
379,health,male,70000,43,central,False
380,engineer,female,98000,33,northeast,False
381,law,female,76000,32,central,False
382,engineer,female,84000,25,southwest,False
383,construction,female,102000,46,midwest,True
384,engineer,male,57000,26,central,False
385,construction,female,84000,49,midwest,True
386,engineer,male,125000,39,northeast,False
387,construction,male,35000,38,northwest,True
388,law,male,91000,43,central,False
389,construction,male,111000,29,southwest,False
390,engineer,male,128000,50,midwest,True
391,engineer,female,123000,27,southeast,False
392,engineer,female,121000,25,northeast,False
393,unemployed,female,92000,28,midwest,False
394,engineer,female,100000,32,central,True
395,law,male,105000,36,central,True
396,engineer,female,96000,48,central,True
397,law,female,50000,48,southwest,True
398,construction,female,84000,35,southeast,False
399,law,male,77000,43,central,True
400,law,male,114000,39,central,False
401,unemployed,male,51000,39,midwest,False
402,engineer,male,114000,36,central,True
403,unemployed,male,62000,22,central,False
404,construction,male,106000,44,midwest,False
405,unemployed,male,99000,26,northeast,False
406,unemployed,female,60000,38,northwest,False
407,engineer,male,71000,38,midwest,True
408,engineer,male,96000,24,southwest,False
409,construction,female,53000,40,northeast,False
410,engineer,male,119000,48,southwest,False
411,engineer,male,109000,27,southeast,False
412,law,male,106000,31,central,False
413,law,female,43000,25,southwest,False
414,engineer,male,76000,22,central,False
415,construction,male,53000,47,southwest,True
416,unemployed,female,52000,43,southwest,False
417,engineer,male,70000,23,northwest,False
418,engineer,female,108000,37,northwest,True
419,unemployed,female,69000,49,central,False
420,law,female,40000,35,northwest,True
421,engineer,female,43000,38,northeast,True
422,construction,female,82000,24,southeast,False
423,engineer,male,53000,30,southwest,True
424,health,male,95000,46,southeast,False
425,law,male,87000,40,southwest,True
426,construction,female,45000,27,northeast,False
427,engineer,female,41000,33,southwest,False
428,law,female,54000,36,southwest,True
429,engineer,male,33000,40,northwest,False
430,unemployed,male,31000,40,central,True
431,law,male,97000,34,northeast,False
432,law,male,103000,40,northwest,False
433,engineer,male,102000,39,northwest,True
434,construction,male,65000,46,central,True
435,engineer,male,129000,39,southeast,False
436,engineer,female,61000,42,northwest,True
437,law,male,57000,23,central,False
438,engineer,male,63000,21,northwest,False
439,law,male,59000,35,midwest,False
440,engineer,male,104000,26,midwest,True
441,law,female,114000,22,southeast,False
442,construction,female,117000,39,southwest,False
443,construction,male,128000,21,northwest,True
444,engineer,female,96000,27,northeast,True
445,engineer,male,93000,45,southwest,True
446,construction,male,118000,20,northeast,False
447,construction,female,127000,36,central,True
448,unemployed,female,120000,39,central,True
449,engineer,female,56000,21,northwest,False
450,construction,female,48000,25,southwest,False
451,construction,female,55000,44,southwest,True
452,law,male,90000,39,northeast,False
453,law,female,77000,24,northeast,False
454,engineer,female,97000,24,central,False
455,construction,male,50000,25,central,True
456,construction,male,100000,24,northwest,False
457,unemployed,female,109000,50,central,False
458,construction,female,91000,45,midwest,False
459,construction,female,93000,24,central,False
460,unemployed,female,107000,50,northwest,False
461,construction,male,89000,43,southeast,False
462,engineer,male,67000,34,southeast,True
463,health,male,95000,36,northeast,False
464,engineer,male,105000,50,southwest,True
465,engineer,female,47000,27,southwest,True
466,law,male,113000,35,southwest,False
467,construction,male,94000,40,northeast,False
468,construction,male,95000,34,midwest,True
469,health,female,76000,30,northeast,False
470,engineer,female,61000,49,southeast,True
471,construction,female,61000,32,southwest,False
472,law,female,103000,30,northeast,True
473,health,female,109000,42,southeast,False
474,engineer,female,107000,30,southwest,False
475,engineer,female,56000,32,central,False
476,unemployed,male,65000,34,southwest,False
477,construction,male,99000,31,northeast,True
478,construction,female,101000,26,southeast,False
479,law,female,57000,45,southwest,True
480,construction,male,68000,27,northeast,False
481,engineer,male,37000,26,northeast,False
482,engineer,female,88000,23,central,False
483,unemployed,female,84000,36,northwest,True
484,unemployed,male,83000,44,southeast,True
485,engineer,female,121000,29,northwest,False
486,engineer,female,76000,22,southeast,True
487,law,male,116000,49,southeast,False
488,engineer,female,50000,35,southeast,False
489,health,female,125000,22,northwest,True
490,construction,female,127000,37,northeast,True
491,law,male,48000,39,southwest,False
492,unemployed,male,81000,44,northwest,True
493,unemployed,male,33000,21,northwest,False
494,law,female,124000,27,southwest,True
495,engineer,female,34000,27,northeast,True
496,construction,female,52000,31,northwest,False
497,construction,male,108000,35,southeast,False
498,engineer,female,50000,47,southwest,True
499,unemployed,female,82000,42,northwest,True
500,construction,male,106000,30,northeast,True
501,engineer,male,31000,38,southeast,True
502,construction,male,61000,27,southwest,True
503,unemployed,female,76000,49,southeast,True
504,construction,female,106000,35,central,False
505,engineer,female,52000,31,northwest,True
506,engineer,female,81000,39,midwest,True
507,construction,male,62000,24,central,False
508,engineer,female,78000,37,central,False
509,construction,male,41000,49,northwest,True
510,engineer,male,31000,42,central,True
511,engineer,male,104000,37,midwest,False
512,engineer,female,34000,41,southeast,False
513,engineer,male,59000,26,central,True
514,health,female,33000,39,central,True
515,construction,male,82000,35,midwest,True
516,health,male,108000,24,northwest,False
517,law,female,127000,32,midwest,False
518,law,male,34000,44,northeast,False
519,health,female,118000,21,central,False
520,unemployed,female,95000,44,midwest,True
521,unemployed,male,94000,27,northwest,False
522,unemployed,male,120000,49,midwest,False
523,law,male,70000,48,northwest,False
524,engineer,male,42000,35,central,True
525,health,female,63000,40,southeast,True
526,engineer,male,77000,37,central,False
527,health,male,87000,24,northwest,False
528,engineer,female,68000,46,midwest,False
529,construction,male,61000,36,midwest,False
530,engineer,female,100000,21,central,False
531,law,female,110000,22,northeast,False
532,engineer,female,49000,27,midwest,False
533,law,male,73000,48,midwest,False
534,health,male,40000,28,northwest,False
535,engineer,female,109000,24,central,False
536,engineer,male,89000,23,northwest,False
537,unemployed,female,66000,25,midwest,False
538,law,male,90000,40,southeast,False
539,health,female,72000,42,southeast,True
540,unemployed,male,77000,20,northwest,False
541,engineer,male,61000,30,northwest,True
542,engineer,female,48000,40,northwest,False
543,law,male,126000,33,northeast,False
544,unemployed,female,119000,22,southeast,True
545,engineer,female,40000,42,midwest,False
546,engineer,female,48000,26,southeast,True
547,health,female,59000,21,midwest,False
548,unemployed,male,41000,42,midwest,True
549,unemployed,female,109000,48,northeast,True
550,law,male,117000,27,midwest,False
551,engineer,male,80000,25,southwest,False
552,engineer,female,106000,42,southeast,False
553,construction,female,93000,29,midwest,True
554,health,female,85000,50,midwest,True
555,law,male,93000,22,northwest,False
556,construction,female,100000,43,northwest,True
557,engineer,male,76000,39,southeast,False
558,construction,male,50000,37,northeast,False
559,engineer,male,80000,49,central,False
560,construction,female,69000,49,southwest,True
561,unemployed,female,54000,34,midwest,False
562,engineer,male,45000,31,northeast,False
563,unemployed,female,100000,45,midwest,False
564,law,female,44000,21,southeast,False
565,unemployed,male,87000,44,northeast,True
566,health,female,96000,27,southeast,False
567,unemployed,male,113000,46,central,True
568,law,male,43000,24,northwest,False
569,engineer,male,111000,31,northeast,False
570,unemployed,male,96000,30,northwest,False
571,unemployed,male,70000,21,southeast,False
572,law,female,87000,49,central,False
573,engineer,male,41000,40,northwest,False
574,health,female,115000,46,southwest,True
575,health,male,97000,26,northwest,False
576,engineer,male,128000,31,midwest,True
577,construction,female,56000,21,southwest,False
578,health,male,39000,47,northwest,False
579,engineer,male,83000,38,southeast,False
580,law,female,82000,27,northeast,False
581,unemployed,male,42000,40,southwest,True
582,unemployed,female,45000,43,southeast,True
583,engineer,female,111000,27,central,False
584,engineer,female,107000,48,northwest,False
585,engineer,male,101000,41,midwest,True
586,engineer,female,129000,48,northwest,True
587,unemployed,male,95000,48,midwest,True
588,law,female,76000,50,northeast,True
589,engineer,male,109000,37,northeast,False
590,unemployed,female,122000,50,northeast,True
591,health,female,42000,32,northeast,False
592,engineer,male,97000,25,central,True
593,engineer,male,60000,25,central,False
594,engineer,female,113000,43,central,True
595,engineer,male,33000,23,southeast,False
596,unemployed,male,37000,43,southeast,True
597,unemployed,female,86000,47,midwest,True
598,unemployed,female,59000,34,midwest,False
599,law,female,100000,43,northeast,True
600,engineer,female,91000,37,southeast,True
601,unemployed,female,38000,42,southeast,False
602,engineer,male,52000,42,northwest,False
603,law,male,58000,45,central,False
604,construction,female,108000,32,northwest,False
605,law,female,34000,38,northwest,True
606,engineer,female,65000,21,southwest,False
607,engineer,male,126000,32,southwest,False
608,construction,male,74000,22,northeast,False
609,construction,female,115000,20,midwest,False
610,construction,female,110000,23,northeast,True
611,construction,male,57000,43,southwest,False
612,health,female,88000,26,central,False
613,unemployed,female,113000,49,southwest,True
614,engineer,female,66000,21,central,True
615,engineer,male,35000,49,central,False
616,engineer,female,78000,46,central,True
617,engineer,female,49000,44,southeast,True
618,engineer,male,63000,26,southeast,False
619,unemployed,female,89000,34,midwest,False
620,unemployed,female,86000,23,midwest,False
621,unemployed,female,55000,30,northeast,False
622,construction,male,128000,40,southwest,True
623,unemployed,male,62000,31,central,True
624,engineer,male,101000,42,northwest,False
625,law,male,105000,25,northwest,False
626,health,female,80000,22,northeast,False
627,health,female,109000,26,southwest,False
628,engineer,female,43000,21,northeast,False
629,construction,female,118000,28,northwest,False
630,engineer,male,40000,34,southwest,False
631,engineer,male,93000,34,southwest,False
632,unemployed,female,38000,43,northwest,True
633,unemployed,male,109000,21,central,True
634,construction,male,50000,33,southwest,False
635,unemployed,male,37000,27,southwest,False
636,unemployed,male,91000,25,southeast,False
637,engineer,female,118000,31,northeast,False
638,construction,female,102000,21,southwest,False
639,unemployed,male,88000,32,northeast,True
640,law,male,69000,50,southwest,True
641,unemployed,male,100000,40,northeast,False
642,construction,female,84000,33,midwest,False
643,unemployed,male,91000,21,southeast,False
644,construction,female,40000,48,central,True
645,construction,male,58000,27,midwest,False
646,health,female,128000,23,northeast,False
647,unemployed,female,101000,20,northeast,False
648,health,male,128000,40,central,True
649,law,female,120000,40,southwest,False
650,law,male,54000,27,northwest,False
651,engineer,female,97000,27,southwest,False
652,unemployed,female,112000,36,midwest,True
653,engineer,male,109000,34,midwest,True
654,engineer,male,35000,39,northeast,True
655,unemployed,female,127000,40,midwest,True
656,engineer,male,116000,36,northeast,False
657,engineer,female,93000,49,central,False
658,engineer,female,122000,39,northeast,False
659,law,male,123000,44,midwest,True
660,construction,female,30000,39,northeast,False
661,engineer,female,74000,48,central,True
662,engineer,female,61000,35,central,False
663,engineer,female,116000,48,northeast,True
664,health,male,121000,29,southwest,True
665,unemployed,male,44000,45,northeast,True
666,law,male,87000,22,midwest,False
667,construction,female,97000,29,southeast,False
668,construction,female,122000,35,southeast,False
669,engineer,male,105000,41,southwest,False
670,engineer,female,51000,25,northwest,False
671,engineer,male,66000,49,northeast,False
672,law,male,35000,28,northwest,False
673,law,female,45000,34,midwest,False
674,law,female,96000,30,northeast,False
675,engineer,male,78000,40,northwest,False
676,engineer,male,56000,39,midwest,False
677,unemployed,female,74000,38,southeast,False
678,health,male,107000,23,northeast,False
679,engineer,female,117000,30,midwest,False
680,law,female,76000,44,midwest,False
681,law,female,109000,49,northwest,False
682,unemployed,male,113000,29,southwest,False
683,health,male,33000,33,southeast,False
684,health,male,119000,36,midwest,False
685,construction,female,39000,33,northwest,False
686,construction,male,66000,22,midwest,True
687,construction,male,45000,27,northwest,True
688,unemployed,male,112000,35,southwest,True
689,unemployed,male,30000,44,northwest,True
690,health,female,44000,50,midwest,True
691,construction,male,122000,24,southeast,False
692,engineer,male,71000,29,southwest,False
693,unemployed,female,79000,20,northwest,False
694,law,female,50000,33,central,False
695,engineer,male,128000,48,northwest,True
696,construction,female,76000,21,southeast,False
697,law,male,94000,24,central,False
698,engineer,male,39000,41,northwest,False
699,law,male,96000,26,southeast,False
700,engineer,female,63000,37,central,False
701,engineer,female,73000,48,southwest,True
702,engineer,male,31000,36,southwest,False
703,unemployed,male,113000,24,midwest,False
704,engineer,male,113000,35,northeast,True
705,unemployed,female,95000,31,central,True
706,engineer,female,56000,36,midwest,False
707,engineer,male,60000,23,midwest,True
708,unemployed,male,93000,33,southwest,False
709,health,male,41000,40,northeast,True
710,law,male,54000,44,northeast,True
711,law,male,81000,50,central,False
712,law,male,48000,30,northeast,False
713,unemployed,male,45000,32,northeast,True
714,law,female,63000,30,southeast,True
715,unemployed,male,42000,25,northwest,True
716,law,female,66000,49,southwest,False
717,engineer,male,45000,46,northeast,False
718,engineer,male,44000,47,midwest,False
719,unemployed,female,93000,38,southwest,False
720,engineer,female,122000,26,central,True
721,engineer,male,74000,27,northwest,False
722,construction,male,76000,28,southwest,False
723,construction,male,81000,28,southwest,False
724,engineer,male,68000,31,northeast,False
725,law,male,67000,24,southwest,False
726,unemployed,female,89000,43,southeast,False
727,law,male,35000,28,northwest,True
728,engineer,female,55000,20,northwest,False
729,engineer,female,90000,22,midwest,False
730,law,female,122000,29,southeast,False
731,construction,female,92000,32,central,False
732,construction,male,117000,42,midwest,False
733,engineer,female,65000,23,southeast,True
734,health,female,126000,30,central,False
735,law,male,41000,32,southeast,False
736,construction,male,37000,21,northwest,False
737,engineer,female,66000,48,central,False
738,law,male,98000,37,midwest,False
739,unemployed,male,73000,38,southwest,False
740,unemployed,female,91000,41,southeast,True
741,engineer,female,119000,47,northeast,False
742,law,female,108000,32,northeast,False
743,engineer,male,59000,22,southwest,False
744,law,female,107000,39,southeast,False
745,health,male,129000,40,northwest,False
746,engineer,male,75000,27,southeast,False
747,unemployed,male,90000,20,southwest,False
748,law,female,112000,49,midwest,True
749,construction,female,109000,32,central,False
750,engineer,male,42000,26,midwest,True
751,unemployed,male,124000,34,northwest,True
752,law,female,70000,39,southeast,False
753,engineer,male,78000,41,midwest,True
754,engineer,female,99000,43,southwest,False
755,construction,female,40000,37,northeast,False
756,engineer,female,103000,37,northeast,False
757,health,male,44000,28,northwest,False
758,health,female,121000,50,southwest,True
759,law,female,118000,49,midwest,False
760,law,female,67000,47,northwest,False
761,construction,female,35000,26,midwest,False
762,law,female,56000,33,midwest,True
763,engineer,female,124000,31,northwest,False
764,unemployed,female,44000,27,northwest,False
765,unemployed,female,97000,48,midwest,True
766,engineer,female,83000,41,midwest,True
767,construction,male,97000,37,central,False
768,construction,female,76000,37,northwest,True
769,health,male,108000,47,southwest,True
770,engineer,female,123000,42,southeast,False
